종목명,금일종가,ATR,ATR/금일종가
한화투자증권우,2010,49.33333333,0.02454395
해마로푸드서비스,2915,190.,0.0651801
해성디에스,13900,463.33333333,0.03333333
해성산업,10100,350.,0.03465347
해성옵틱스,2080,115.,0.05528846
해태제과식품,7430,146.,0.01965007
핸디소프트,2030,70.,0.03448276
핸즈코퍼레이션,6820,247.33333333,0.03626588
헬릭스미스,84100,900.,0.01070155
현대건설,40800.,1026.66666667,0.0251634
현대건설기계,27050,970.,0.03585952
현대건설우,142500,3233.33333333,0.02269006
현대공업,3100,60.,0.01935484
현대그린푸드,11850,326.66666667,0.02756681
현대글로비스,148000,2566.66666667,0.01734234
현대로템,14900,496.66666667,0.03333333
현대리바트,13900,390.,0.02805755
현대모비스,246500.,5866.66666667,0.02379986
현대미포조선,45000,1350.,0.03
현대바이오,13950,400.,0.02867384
현대백화점,82000,1833.33333333,0.02235772
현대비앤지스틸,9080,168.66666667,0.01857562
현대비앤지스틸우,56200,2813.33333333,0.05005931
현대사료,12150,100.,0.00823045
현대상사,17400.,413.33333333,0.02375479
현대상선,3580.,66.,0.01843575
현대약품,5310.,227.33333333,0.0428123
현대에너지솔루션,13550,866.66666667,0.06396064
현대에이치씨엔,3600,167.33333333,0.04648148
현대엘리베이,69600,2193.33333333,0.03151341
현대오토에버,49200,963.33333333,0.01957995
현대위아,52500,1346.66666667,0.02565079
현대일렉트릭,8560,520.66666667,0.06082555
현대제철,31850,676.66666667,0.02124542
현대중공업지주,345000,5300.,0.01536232
현대차,121500.,2733.33333333,0.02249657
현대차2우B,81400,1500.,0.01842752
현대차3우B,71200,1086.66666667,0.01526217
현대차우,72500.,1273.33333333,0.01756322
현대차증권,9970,153.33333333,0.01537947
현대코퍼레이션홀딩스,12100.,246.66666667,0.02038567
현대통신,8000,40.,0.005
현대해상,27950,816.66666667,0.02921884
현대홈쇼핑,85000,1420.,0.01670588
현우산업,3480,110.,0.0316092
현진소재,1535,110.,0.07166124
형지I&C,603,17.,0.02819237
형지엘리트,1360,88.33333333,0.06495098
혜인,4435,130.,0.02931229
호전실업,14700,593.33333333,0.04036281
호텔신라,83500,1706.66666667,0.02043912
호텔신라우,49850,956.66666667,0.01919091
홈센타홀딩스,1320,35.,0.02651515
홈캐스트,4600,140.,0.03043478
화성밸브,6170,180.,0.02917342
화성산업,11850.,236.66666667,0.01997187
화승알앤에이,2155,107.33333333,0.04980665
화승엔터프라이즈,16400,623.33333333,0.03800813
화승인더,10850.,510.,0.04700461
화신,3500.,119.,0.034
화신정공,1270,35.,0.02755906
화신테크,2540,295.,0.11614173
화이브라더스코리아,2415,70.,0.02898551
화인베스틸,2525,97.,0.03841584
화일약품,6640,180.,0.02710843
화천기계,2970,176.33333333,0.05937149
화천기공,38000,400.,0.01052632
환인제약,16400,226.66666667,0.01382114
황금에스티,6890,144.,0.02089985
효성,80000.,1200.,0.015
효성ITX,14000,596.66666667,0.04261905
효성오앤비,6800,200.66666667,0.0295098
효성중공업,25600,750.,0.02929688
효성첨단소재,104500,2300.,0.02200957
효성티앤씨,159000,3800.,0.02389937
효성화학,142500,4066.66666667,0.02853801
후성,7760,257.33333333,0.03316151
휘닉스소재,650,22.,0.03384615
휠라코리아,51900,1313.33333333,0.02530507
휴네시온,4785,185.,0.03866249
휴니드,7300.,230.,0.03150685
휴림로봇,1150,95.,0.0826087
휴마시스,1400,40.,0.02857143
휴맥스,5080,130.,0.02559055
휴맥스홀딩스,3170,70.,0.02208202
휴메딕스,24200,250.,0.01033058
휴비스,6010,116.66666667,0.01941209
휴비츠,8140,140.,0.01719902
휴스틸,10200,133.33333333,0.0130719
휴온스,59600,1300.,0.02181208
휴온스글로벌,35400,850.,0.0240113
휴젤,385000,8800.,0.02285714
휴켐스,21600,376.66666667,0.01743827
흥구석유,5460,280.,0.05128205
흥국,4460,80.,0.01793722
흥국에프엔비,1805,50.,0.02770083
흥국화재,3145.,72.33333333,0.02299947
흥국화재2우B,19150,870.,0.04543081
흥국화재우,4820,123.66666667,0.02565698
흥아해운,588,53.33333333,0.09070295
희림,4235,85.,0.02007084
힘스,26450,1050.,0.03969754
